dayofyear,Food,Shop & Service
2020-01-03,0.0,3.754940711462451
2020-01-04,0.07067137809189106,0.34632034632033903
2020-01-05,1.0822510822510845,0.25996533795493715
2020-01-06,0.0,0.0
2020-01-07,-0.16393442622949506,0.0
2020-01-08,0.8169934640522847,1.2371134020618513
2020-01-09,0.7340946166394691,0.6191950464396356
2020-01-10,0.47244094488188004,2.8656126482213384
2020-01-11,0.0,0.0
2020-01-12,-2.164502164502169,-0.17331022530330253
2020-01-13,0.41425020712508864,0.10570824524311906
2020-01-14,0.7377049180327999,1.2526096033403045
2020-01-15,0.65359477124185,-0.10309278350516538
2020-01-16,0.6525285481239873,0.0
2020-01-17,-0.47244094488189115,-0.49407114624505644
2020-01-18,-1.4134275618374548,0.0
2020-01-19,7.647907647907637,0.60658578856152
2020-01-20,7.042253521126773,20.71881606765329
2020-01-21,-0.24590163934424814,-0.7306889352818424
2020-01-22,0.32679738562091387,-0.8247422680412342
2020-01-23,0.897226753670477,0.3095975232198178
2020-01-24,1.0236220472440882,0.0
2020-01-25,7.349823321554783,0.8658008658008809
2020-01-26,0.6493506493506329,0.5199306759098743
2020-01-27,0.6628003314001596,-0.10570824524313016
2020-01-28,0.0,0.10438413361169019
2020-01-29,0.0,-2.268041237113405
2020-01-30,0.0,-1.0319917440660409
2020-01-31,-0.6299212598425141,-1.679841897233214
2020-02-01,-0.9893992932862083,0.0
2020-02-02,-9.163059163059161,-2.512998266897748
2020-02-03,-0.3314001657000798,-2.114164904862581
2020-02-04,-0.4098360655737654,0.0
2020-02-05,-0.5718954248365882,0.0
2020-02-06,-0.4893964110929905,0.0
2020-02-07,-0.8661417322834652,0.9881422924901351
2020-02-08,-1.342756183745586,0.43290043290042934
2020-02-09,0.0,0.08665511265164572
2020-02-10,-0.165700082850051,0.21141649048626032
2020-02-11,0.0,-0.31315240083508167
2020-02-12,-0.16339869281044583,1.546391752577314
2020-02-13,-0.4078303425774865,-3.6119711042311597
2020-02-14,3.228346456692921,-9.288537549407117
2020-02-15,3.886925795053009,-0.2597402597402598
2020-02-16,5.699855699855694,0.0
2020-02-17,5.05385252692625,19.55602536997887
2020-02-18,2.3770491803278837,9.290187891440493
2020-02-19,2.8594771241830186,8.247422680412363
2020-02-20,3.181076672104388,9.494324045407643
2020-02-21,4.330708661417315,8.498023715415016
2020-02-22,0.9893992932862306,0.25974025974027093
2020-02-23,-2.3809523809523836,0.0
