dayofyear,Food,Shop & Service
2020-01-03,0.7571385352220794,9.973025198278297
2020-01-04,-0.9539931819727343,0.22412428077935864
2020-01-05,0.23514987181965097,0.0008283603882386359
2020-01-06,7.8535306156989115,9.624854982564713
2020-01-07,2.139259568772145,3.7836381908003203
2020-01-08,0.0,2.015033415671774
2020-01-09,-2.5898316612165573,0.9273825030376326
2020-01-10,-0.49652744162178575,-4.717244111013286
2020-01-11,-4.106429522343557,-11.703879080179524
2020-01-12,0.0,2.84104628718842
2020-01-13,0.7168707570028854,0.0
2020-01-14,1.4879555209029283,1.7113519761774887
2020-01-15,-0.9611906176923202,0.0
2020-01-16,-4.816596333848433,-3.3521902161669614
2020-01-17,-2.6717975570255903,-4.40950453976231
2020-01-18,-1.5571366127370312,-5.323971203959821
2020-01-19,-1.5240819272383188,-8.675922158917427
2020-01-20,17.013268101971125,17.554523430178048
2020-01-21,-6.253801275726289,-4.5261845893095565
2020-01-22,2.1856005696701652,-3.643590541084407
2020-01-23,1.2603283578914937,-5.151937536215745
2020-01-24,0.0,-4.246039932296841
2020-01-25,0.0,-3.3809005590317187
2020-01-26,1.994773010443196,0.0
2020-01-27,-3.444475434983607,-2.351475984352569
2020-01-28,0.0,0.0
2020-01-29,-2.6246450022359036,-5.1708938617031635
2020-01-30,-1.8587676107617135,-2.611246519292798
2020-01-31,-0.5010335429572299,-1.8219921500557068
2020-02-01,5.030165525490027,5.061900400668318
2020-02-02,-13.58729008244649,-5.413916670042762
2020-02-03,0.0,-1.5496104640955854
2020-02-04,-2.1082352485066735,-4.626758893978078
2020-02-05,-2.215803009757278,-5.529666521174725
2020-02-06,0.0,3.325172303871571
2020-02-07,-3.177420880650028,0.0
2020-02-08,3.3974790201263927,0.0
2020-02-09,-0.8527359873900187,1.9928618722501623
2020-02-10,-2.54895459566965,0.07294641700883453
2020-02-11,4.140618852334477,8.559104426208798
2020-02-12,1.7907239781285167,4.611539282823651
2020-02-13,8.577859904302422,28.05214388698993
2020-02-14,22.571928369695506,19.44858499081601
2020-02-15,16.678820230594503,7.144604997950577
2020-02-16,3.9576996882479065,-1.9944042801096296
2020-02-17,17.808245404068135,15.25330892364789
2020-02-18,-3.1777652865546346,-4.630292958492777
2020-02-19,4.172342699142395,1.3312625637519337
2020-02-20,2.6713860106409415,0.0
2020-02-21,5.92241633124837,0.9984986169470522
2020-02-22,11.29762301977275,5.247426491879903
2020-02-23,6.22690970686286,1.3717024741903394
2020-02-24,-1.4494553451849468,-3.5999398380980985
2020-02-25,8.890468428624999,6.631462562324786
2020-02-26,7.055534469822011,7.5378857681001055
2020-02-27,9.347732181196399,11.208973786874488
2020-02-28,8.930747939232608,9.28629491278723
2020-02-29,16.918417749029004,16.141510928486124
2020-03-01,20.83981796782346,13.030732018043656
2020-03-02,10.694273095162243,6.080784258792238
2020-03-03,19.159154423985882,16.473303688225926
2020-03-04,12.722488097833695,10.039648861725903
2020-03-05,6.656776375948814,6.454204314986622
2020-03-06,2.7893844771474052,3.0362392860178167
2020-03-07,14.008214529016417,10.604363736394617
2020-03-08,7.288571504706964,3.9119287161589966
2020-03-09,4.0640361259724145,4.81181325650053
2020-03-10,9.48097653712816,8.733424019738267
2020-03-11,5.467152062289116,14.229904187157661
2020-03-12,-13.50393966129696,18.776436461065195
2020-03-13,-12.318826559737882,23.317314622038854
2020-03-14,-28.491293954598184,-3.140713088070446
2020-03-15,-33.572646395548574,-9.30278944850178
2020-03-16,-32.419831578264095,15.801700068511138
2020-03-17,-48.505693226326585,-0.7689178473993308
2020-03-18,-51.915235464647424,-4.454387125266834
2020-03-19,-61.219394727536525,-15.601007712199133
2020-03-20,-73.32823496901793,-46.21479890376751
2020-03-21,-84.44088074358565,-66.65992155103453
2020-03-22,-70.16444712292636,-40.1052653830686
2020-03-23,-57.004346591777534,-24.281066322208243
2020-03-24,-63.23172707347433,-36.14351985302681
2020-03-25,-57.88571312392419,-30.882895524328458
2020-03-26,-58.72981777901016,-32.55818342829889
2020-03-27,-61.0916631306426,-37.05589529641159
2020-03-28,-65.16273050383685,-43.694106055959935
2020-03-29,-65.03635866090963,-40.74891448892829
2020-03-30,-55.146756683042376,-30.60777125474692
2020-03-31,-59.467383894513716,-30.8959678504664
2020-04-01,-58.572683752269796,-32.50195908099525
2020-04-02,-58.71983102051181,-30.460972654193785
2020-04-03,-59.16161288893489,-32.678006797575854
2020-04-04,-65.28461995702666,-45.70483578244746
2020-04-05,-63.79597524080902,-43.30439123100287
2020-04-06,-53.42259215188341,-30.045928298592127
2020-04-07,-54.17911487964193,-29.029814912320816
2020-04-08,-54.774867797601544,-30.70522456438366
2020-04-09,-55.61365374435392,-27.89516003292063
2020-04-10,-58.214708915697734,-28.913555732470762
2020-04-11,-63.18514007185419,-39.72525613343979
2020-04-12,-79.66539273465182,-69.07003469887533
2020-04-13,-56.226563827634315,-35.94073212857333
2020-04-14,-51.72025107419979,-30.218535490128538
2020-04-15,-41.83747896099052,-21.122375667762363
2020-04-16,-49.15576855836552,-26.409121522811574
2020-04-17,-54.24574551008832,-34.18505642867791
2020-04-18,-55.66446392140134,-38.3681040650925
2020-04-19,-59.67611585982732,-38.72222975186379
2020-04-20,-39.36376649977152,-22.953098882937194
2020-04-21,-40.85410834519726,-17.342137430013604
2020-04-22,-42.72617709766284,-22.232866701598187
2020-04-23,-55.01288976003521,-28.29689722419507
2020-04-24,-48.881461888697075,-29.16590413439497
2020-04-25,-56.93101019558774,-38.642348250118054
2020-04-26,-60.6140459911152,-38.324519504425666
2020-04-27,-34.42536742554524,-16.78573141778156
2020-04-28,-36.23609013983964,-14.014516846407755
2020-04-29,-42.15919725648839,-19.917610247554627
2020-04-30,-42.446091404121624,-15.68918358512722
2020-05-01,-40.4892571500241,-16.274463513316817
2020-05-02,-46.618699502811204,-29.604585757110414
2020-05-03,-50.24404849594699,-28.360237769951326
2020-05-04,-26.558606006618646,-7.250344277276732
2020-05-05,-32.13554492883238,-7.663583384387762
2020-05-06,-37.64987290555582,-11.103914836987471
2020-05-07,-36.58947359814658,-10.343418849697683
2020-05-08,-47.78558617648353,-19.7825685867816
2020-05-09,-44.490170497231176,-13.541763353598778
2020-05-10,-38.02562199724512,-27.316006362178125
2020-05-11,-35.54400689006456,-18.405003727085777
2020-05-12,-48.95582207322595,-33.14556136033606
2020-05-13,-35.35153153427997,-14.491387622957696
2020-05-14,-32.91781911110523,-12.830121621677193
2020-05-15,-39.38130324068536,-17.44783588385842
2020-05-16,-46.4224381822266,-24.101136877531747
2020-05-17,-44.864028028459266,-21.5713344378047
2020-05-18,-32.71062907839338,-12.385094278973586
2020-05-19,-26.89033955246748,-4.600840410685936
2020-05-20,-20.991093291260434,3.220687693185331
2020-05-21,-28.79868513151832,-0.8580443724000575
2020-05-22,-28.428568503873684,-5.389955853842443
2020-05-23,-39.744837089912764,-19.467366024906106
2020-05-24,-33.20630945248369,-12.508515050515001
2020-05-25,-20.66449691260611,3.67468841368066
2020-05-26,-13.633399851439576,4.688256462503104
2020-05-27,-11.853995875637969,3.9370691748476183
2020-05-28,-13.877577874102254,6.863457899897796
2020-05-29,-20.78030593780358,-1.6558832765108278
2020-05-30,-28.715768227235927,-15.365230944726848
2020-05-31,-22.384446693486403,-10.408226603537884
2020-06-01,-0.6870415818649445,8.422045584067583
2020-06-02,-3.0865975003091295,11.68074844800615
2020-06-03,-6.775442248621721,7.231184283604386
2020-06-04,-9.590295101118828,7.692082805608114
2020-06-05,-15.515490434405576,3.6072323861245925
2020-06-06,-25.955451108523587,-11.128942428616096
2020-06-07,-19.144156395075996,-7.194262677279994
2020-06-08,-0.5501702462712199,11.685632952416668
2020-06-09,-3.6345923076612108,13.796433624103122
2020-06-10,1.1944880668157465,16.25923587351641
2020-06-11,-5.724629048917884,11.622983043311708
2020-06-12,-13.071039565407716,4.608228787406166
2020-06-13,-23.61648060360999,-10.407832979341991
2020-06-14,-15.843148952895037,-6.3763790269990235
2020-06-15,0.739380968831127,13.258418530389404
2020-06-16,0.7586114697515134,16.530160004594418
2020-06-17,-2.0585877854645385,13.788649108440554
2020-06-18,-6.223421146164498,15.717644022069166
2020-06-19,-17.50903551126688,5.002310101011798
2020-06-20,-28.278144696810426,-10.0790611328336
2020-06-21,-18.49264885406101,-16.444368818238175
2020-06-22,-4.142045232157177,8.367125191893221
2020-06-23,0.3872825460500273,13.041188401293935
2020-06-24,-1.9830176945169753,11.271497081712777
2020-06-25,-6.3473488936856,8.53549506331419
2020-06-26,-16.562368511136448,-1.7692827844744907
2020-06-27,-26.488896496284596,-15.805270295093543
2020-06-28,-21.181171918968666,-10.358126689776325
2020-06-29,1.9924925465208743,12.304401496224848
2020-06-30,2.441395305731997,16.47555573347197
2020-07-01,2.818055766684635,15.526750201975293
2020-07-02,4.769594211367889,23.482928631136502
2020-07-03,-15.329385605307266,20.546221111884535
2020-07-04,-50.93738346768174,-34.07090438787884
2020-07-05,-26.336295224819338,-24.657723308324265
2020-07-06,-0.08225015505454181,4.988811450272923
2020-07-07,-2.002759243022434,9.119437069224624
2020-07-08,-3.9004448647354417,4.175833093487347
2020-07-09,-9.498337937877722,3.7573506382772903
2020-07-10,-16.623374903033195,-1.7147652273527214
2020-07-11,-25.96642420377141,-19.54647596729513
2020-07-12,-21.485827095475706,-17.08997734298365
2020-07-13,-1.323704750203225,4.77681206829641
2020-07-14,-1.5293334004187975,5.165565300610364
2020-07-15,-3.668737630211827,2.2549567011368232
2020-07-16,-11.791790422714964,0.2796133833208536
2020-07-17,-20.492748581083664,-8.364464449337817
2020-07-18,-27.132740049151483,-20.93895692126927
2020-07-19,-20.935321658660367,-18.69829120083385
2020-07-20,-8.548514662533114,-2.499972490915836
2020-07-21,-5.882905701696927,3.5715248413984213
2020-07-22,-7.577212321424276,0.9089774503842296
2020-07-23,-11.824763532825767,0.09050515515762747
2020-07-24,-18.6177155252646,-7.715520882937477
2020-07-25,-26.80989779229779,-21.633664452899215
2020-07-26,-21.78294834345079,-18.76951442107595
2020-07-27,-4.997815088944446,-1.1556776062994656
2020-07-28,-6.450732189474618,2.8183539050089745
2020-07-29,-8.49869025500819,-2.091185846342525
2020-07-30,-17.188561147783776,-6.441391799406581
2020-07-31,-19.039680866495768,-6.831799636583358
2020-08-01,-28.261953819497908,-15.914351440099994
2020-08-02,-23.377426562970793,-18.117665115585435
2020-08-03,-3.2565065451636177,0.6961630082359394
2020-08-04,-2.2994144599774113,2.973267158398829
2020-08-05,-2.4020178376023327,1.1936492449278857
2020-08-06,-5.303920197396517,1.894230147597642
2020-08-07,-18.29903290705246,-7.922294088593141
2020-08-08,-23.370253494220215,-19.05364692017327
2020-08-09,-20.23309534793797,-16.026905305357964
2020-08-10,-3.456351658273349,1.089545501797251
2020-08-11,-3.8117361005651995,1.595248425656437
2020-08-12,-6.016422913727048,-2.540423341839859
2020-08-13,-13.39340674386078,-5.6971837393098745
2020-08-14,-16.938526463585646,-6.795846205462153
2020-08-15,-20.622171697502157,-13.332488395827724
2020-08-16,-20.828208148256355,-14.923675819000493
2020-08-17,-4.883428459193717,-0.5622488969388217
2020-08-18,-11.147864098990212,-5.081553029376728
2020-08-19,-6.139557201834645,-2.9915293562761014
2020-08-20,-9.626482510474633,-3.8286288612379593
2020-08-21,-18.838738332296867,-10.695849001040859
2020-08-22,-24.130316647587023,-14.346159489346133
2020-08-23,-21.603121752234422,-12.004985087166487
2020-08-24,-11.880486713726002,-8.504802158072666
2020-08-25,-14.900603960648272,-6.36574052620894
2020-08-26,-20.587469788013145,-16.29583747347465
2020-08-27,-19.965365367463217,-13.953437832696935
2020-08-28,-35.88032405693345,-27.861679621384383
2020-08-29,-21.035615336370284,-13.28692488567964
2020-08-30,-21.84277930664108,-17.648665320843982
2020-08-31,-19.260045290074668,-12.682484239737246
