dayofyear,encounter_type,change_n_interactions
2020-01-01,poi,-26.125313161364016
2020-01-01,home,-38.30623362342007
2020-01-01,business,-99.31055572151763
2020-01-01,other,-1.3586284008136218
2020-01-02,other,5.386592239993693
2020-01-02,home,19.052760819538573
2020-01-02,business,-33.30976785338595
2020-01-02,poi,72.18292517143298
2020-01-03,poi,-21.07437804583393
2020-01-03,home,13.45922107123101
2020-01-03,business,-28.537682103186878
2020-01-03,other,6.661516858782401
2020-01-04,other,-11.683934774053784
2020-01-04,poi,-8.818668207357627
2020-01-04,home,-4.395724823865976
2020-01-04,business,-26.398578624121548
2020-01-05,home,-13.96471206527906
2020-01-05,business,-26.926831040228315
2020-01-05,other,-15.743263203337875
2020-01-05,poi,-1.1683722307888722
2020-01-06,home,12.69649698227493
2020-01-06,other,16.434826693954886
2020-01-06,business,2.1022332893045226
2020-01-06,poi,33.3260568894594
2020-01-07,poi,-1.2004758082666656
2020-01-07,home,19.111724233504958
2020-01-07,other,12.649189549587136
2020-01-07,business,0.0
2020-01-08,home,20.75766777537269
2020-01-08,other,4.114903298563233
2020-01-08,business,0.0
2020-01-08,poi,-15.659118061220479
2020-01-09,other,5.743727535850329
2020-01-09,business,0.0
2020-01-09,poi,-17.947574118079224
2020-01-09,home,16.740380695030787
2020-01-10,business,4.059829163229711
2020-01-10,other,3.1253807615467144
2020-01-10,home,6.940971290289011
2020-01-10,poi,0.8506505905006678
2020-01-11,other,6.574385486078427
2020-01-11,business,0.19868645241851723
2020-01-11,home,-8.053648858201534
2020-01-11,poi,0.0
2020-01-12,other,-1.5498968279007763
2020-01-12,home,-13.41146850703896
2020-01-12,business,-1.7849809263828287
2020-01-12,poi,-3.044458806853889
2020-01-13,business,-1.185421345288018
2020-01-13,other,-0.02865234796400884
2020-01-13,home,-18.94178477802623
2020-01-13,poi,0.0
2020-01-14,poi,65.07617786227667
2020-01-14,business,-5.611359311101616
2020-01-14,other,6.960570921323539
2020-01-14,home,-10.268253053923626
2020-01-15,business,-5.399716870086191
2020-01-15,other,0.0
2020-01-15,poi,17.73171741075781
2020-01-15,home,-9.26424736481809
2020-01-16,home,-9.675579843626291
2020-01-16,business,-4.809560037145744
2020-01-16,poi,68.08868000670489
2020-01-16,other,0.7278204830964752
2020-01-17,home,-12.44386119006472
2020-01-17,business,-5.250760210793115
2020-01-17,other,-7.762605883472739
